event_type,src_zone,dst_zone,event_count_10m,unique_src_10m,asset_criticality,prior_incident_impact,is_privileged_account,geo_risk,risk_label
failed_login,vendor,dmz,9,12,4,1,0,1,Medium
malware_alert,corp,prod,11,18,1,0,0,1,Medium
failed_login,corp,dmz,33,2,3,1,1,1,Medium
port_scan,internet,dmz,3,18,1,2,0,2,Low
port_scan,vendor,corp,4,2,2,0,1,2,Medium
port_scan,internet,prod,32,2,2,2,1,5,High
port_scan,vendor,corp,15,4,2,1,0,1,Medium
malware_alert,corp,prod,20,16,1,3,1,2,High
suspicious_dns,vendor,dmz,29,4,4,3,0,2,High
suspicious_dns,corp,dmz,31,8,3,2,1,3,High
failed_login,internet,prod,19,8,4,2,0,3,Medium
port_scan,corp,prod,2,15,1,3,1,2,Medium
port_scan,internet,corp,16,1,1,2,0,5,Medium
malware_alert,corp,corp,7,14,4,0,1,4,Medium
suspicious_dns,internet,prod,12,2,2,2,0,3,Medium
suspicious_dns,vendor,prod,4,2,2,1,0,1,Low
privilege_escalation,internet,dmz,22,17,1,0,0,4,Medium
failed_login,vendor,corp,37,6,3,2,1,3,High
failed_login,corp,dmz,10,17,5,3,0,1,Medium
port_scan,corp,prod,10,13,4,0,1,2,Medium
port_scan,vendor,prod,10,10,3,2,1,3,Medium
failed_login,corp,dmz,1,18,3,2,0,4,Low
malware_alert,corp,corp,8,20,4,0,1,1,Medium
malware_alert,vendor,corp,39,15,5,3,1,4,High
failed_login,corp,prod,39,18,3,2,0,5,High
failed_login,internet,corp,21,16,2,0,1,5,Medium
failed_login,internet,corp,36,2,4,0,0,3,Medium
port_scan,vendor,prod,18,14,5,2,0,2,Medium
failed_login,vendor,prod,30,12,5,2,1,4,High
port_scan,corp,dmz,6,10,5,2,0,4,Medium
malware_alert,internet,dmz,6,5,2,2,0,2,Medium
failed_login,vendor,corp,19,13,1,3,0,3,Medium
failed_login,corp,corp,33,16,5,0,1,5,High
data_exfiltration,corp,dmz,39,6,2,3,1,1,High
port_scan,vendor,dmz,24,19,1,0,0,4,Medium
suspicious_dns,internet,prod,34,20,4,2,1,2,High
port_scan,corp,dmz,7,9,3,2,0,5,Medium
port_scan,corp,prod,40,9,5,1,0,3,High
port_scan,vendor,prod,17,16,5,3,0,4,High
failed_login,corp,corp,27,12,1,0,0,2,Medium
privilege_escalation,internet,dmz,38,11,4,1,0,2,High
port_scan,corp,corp,13,18,4,1,0,2,Medium
port_scan,internet,corp,5,7,4,2,0,5,Medium
port_scan,vendor,corp,29,12,3,0,1,5,Medium
port_scan,corp,dmz,37,8,2,3,1,3,High
suspicious_dns,internet,corp,17,5,3,2,1,5,Medium
failed_login,internet,prod,37,14,5,0,1,3,High
suspicious_dns,vendor,corp,20,7,1,0,0,2,Medium
port_scan,internet,prod,16,3,1,1,1,5,Medium
privilege_escalation,vendor,prod,32,20,5,0,1,1,High
failed_login,internet,prod,36,13,1,2,1,1,Medium
failed_login,vendor,prod,16,20,3,3,1,2,Medium
malware_alert,internet,corp,40,13,1,0,1,5,High
failed_login,internet,dmz,18,18,4,3,1,2,Medium
failed_login,vendor,corp,15,6,2,1,1,2,Medium
suspicious_dns,internet,prod,18,17,5,1,0,5,Medium
port_scan,corp,prod,40,17,1,3,1,2,High
failed_login,corp,dmz,30,17,3,2,1,5,High
data_exfiltration,internet,dmz,25,8,2,2,0,4,High
data_exfiltration,corp,prod,28,4,1,1,0,5,High
malware_alert,corp,prod,26,17,3,2,0,5,High
failed_login,internet,prod,21,7,5,1,0,2,Medium
failed_login,internet,prod,30,2,4,2,0,5,Medium
data_exfiltration,corp,dmz,34,18,3,0,1,3,High
failed_login,vendor,dmz,22,20,1,0,0,4,Medium
data_exfiltration,vendor,dmz,16,9,5,1,1,5,High
suspicious_dns,internet,prod,27,12,3,0,1,2,Medium
suspicious_dns,vendor,corp,27,7,4,1,0,1,Medium
failed_login,vendor,prod,19,14,3,1,1,5,Medium
failed_login,internet,dmz,29,15,2,3,0,3,Medium
data_exfiltration,internet,corp,34,10,1,2,1,4,High
failed_login,internet,corp,40,1,1,0,1,2,Medium
failed_login,vendor,corp,17,15,3,3,0,2,Medium
suspicious_dns,internet,dmz,18,8,3,2,1,4,Medium
failed_login,corp,corp,27,13,2,3,0,1,Medium
data_exfiltration,vendor,prod,24,20,4,0,0,4,High
failed_login,internet,prod,16,1,5,2,0,5,Medium
failed_login,corp,dmz,20,20,4,0,0,4,Medium
failed_login,internet,dmz,39,14,2,1,1,4,High
port_scan,vendor,corp,17,10,3,3,0,4,Medium
failed_login,internet,prod,40,9,3,3,0,5,High
failed_login,internet,prod,39,19,4,3,0,2,High
suspicious_dns,corp,prod,33,19,3,2,0,4,High
failed_login,corp,prod,35,16,5,1,1,4,High
failed_login,vendor,dmz,31,3,1,1,0,5,Medium
failed_login,vendor,dmz,34,16,5,2,0,5,High
privilege_escalation,internet,prod,4,5,3,1,0,3,Medium
privilege_escalation,vendor,prod,39,12,2,0,0,4,High
port_scan,vendor,corp,31,5,5,1,1,4,High
port_scan,corp,corp,3,17,3,1,0,1,Low
port_scan,vendor,prod,7,5,3,1,0,4,Medium
failed_login,vendor,dmz,18,20,1,3,0,5,Medium
suspicious_dns,internet,dmz,1,14,2,0,0,2,Low
failed_login,internet,corp,19,5,4,2,1,1,Medium
port_scan,internet,corp,13,5,5,2,0,3,Medium
suspicious_dns,corp,prod,1,6,5,1,1,4,Medium
suspicious_dns,vendor,dmz,15,10,2,2,1,5,Medium
data_exfiltration,corp,corp,26,1,2,3,0,3,High
privilege_escalation,internet,dmz,2,13,5,1,1,3,High
port_scan,corp,dmz,21,1,5,1,1,2,Medium
failed_login,internet,corp,4,20,2,0,1,4,Low
failed_login,internet,dmz,8,7,2,3,1,5,Medium
suspicious_dns,corp,corp,5,9,4,2,1,2,Medium
failed_login,vendor,corp,5,9,5,0,1,4,Medium
failed_login,internet,corp,10,10,2,2,1,1,Medium
failed_login,vendor,dmz,33,13,3,1,1,3,Medium
privilege_escalation,vendor,dmz,24,3,1,2,0,2,High
privilege_escalation,internet,dmz,24,16,5,0,1,4,High
failed_login,corp,prod,7,17,2,2,0,1,Low
failed_login,vendor,dmz,30,16,5,3,0,2,High
failed_login,internet,corp,22,6,5,1,0,1,Medium
failed_login,internet,corp,10,2,2,0,1,4,Medium
suspicious_dns,internet,corp,12,10,1,3,0,5,Medium
failed_login,corp,corp,26,7,3,0,0,5,Medium
port_scan,corp,prod,12,17,2,3,1,5,Medium
failed_login,vendor,dmz,8,1,4,1,1,2,Medium
port_scan,vendor,prod,13,18,1,2,0,1,Medium
failed_login,corp,dmz,26,12,5,2,1,2,High
port_scan,corp,corp,3,5,3,0,1,3,Medium
failed_login,internet,prod,33,8,2,0,0,4,Medium
port_scan,corp,corp,20,7,2,0,1,2,Medium
suspicious_dns,internet,dmz,15,7,2,3,0,5,Medium
port_scan,internet,dmz,7,2,5,1,1,3,Medium
data_exfiltration,internet,corp,23,1,1,3,0,2,High
failed_login,vendor,dmz,24,4,3,0,0,3,Medium
failed_login,vendor,prod,10,12,3,2,0,5,Medium
port_scan,vendor,dmz,28,1,1,0,0,2,Medium
failed_login,corp,corp,27,2,2,0,1,3,Medium
malware_alert,vendor,dmz,26,18,5,1,1,3,High
suspicious_dns,internet,prod,16,8,3,2,0,3,Medium
suspicious_dns,corp,corp,39,10,1,2,0,2,High
failed_login,corp,prod,9,3,1,0,1,1,Low
failed_login,internet,prod,5,17,2,0,1,1,Low
malware_alert,vendor,corp,19,2,2,3,0,1,Medium
port_scan,corp,prod,36,10,3,0,0,4,Medium
suspicious_dns,corp,dmz,14,6,1,1,0,3,Medium
failed_login,corp,dmz,3,2,1,2,1,4,Medium
port_scan,corp,dmz,7,12,1,1,1,5,Medium
data_exfiltration,vendor,prod,31,13,5,3,1,2,High
data_exfiltration,vendor,dmz,1,19,1,0,0,3,Medium
suspicious_dns,corp,dmz,1,16,5,1,1,2,Medium
data_exfiltration,internet,prod,36,15,3,2,0,1,High
malware_alert,internet,dmz,7,6,4,1,0,3,Medium
port_scan,corp,prod,13,19,2,1,1,3,Medium
failed_login,internet,prod,20,8,5,0,1,1,Medium
failed_login,internet,dmz,9,14,4,3,1,1,Medium
port_scan,corp,dmz,29,20,2,3,1,2,High
failed_login,corp,corp,39,7,3,3,0,2,High
failed_login,vendor,dmz,34,9,5,3,0,2,High
port_scan,internet,dmz,27,8,2,1,0,5,Medium
suspicious_dns,internet,prod,35,13,5,2,0,4,High
failed_login,vendor,prod,6,4,4,2,0,2,Medium
port_scan,vendor,dmz,2,5,3,1,1,3,Medium
malware_alert,vendor,corp,3,9,4,2,1,2,Medium
failed_login,vendor,dmz,20,19,3,2,0,5,Medium
port_scan,corp,corp,30,6,1,3,0,5,Medium
port_scan,vendor,dmz,9,18,1,0,0,2,Low
data_exfiltration,corp,corp,37,7,5,0,1,3,High
data_exfiltration,corp,corp,32,8,4,0,1,2,High
malware_alert,corp,corp,31,7,4,0,1,3,High
port_scan,corp,prod,6,13,2,2,1,1,Medium
port_scan,corp,dmz,29,16,2,2,1,4,High
failed_login,vendor,dmz,33,13,1,2,1,2,Medium
malware_alert,internet,prod,31,7,5,2,0,3,High
suspicious_dns,corp,dmz,33,16,4,0,0,2,Medium
port_scan,corp,dmz,16,19,1,3,1,1,Medium
port_scan,vendor,corp,22,16,4,3,0,5,High
failed_login,corp,dmz,4,14,5,0,1,4,Medium
port_scan,internet,prod,8,13,5,2,0,1,Medium
port_scan,corp,corp,37,18,1,1,1,1,Medium
failed_login,internet,prod,6,10,2,1,0,4,Low
failed_login,corp,prod,10,13,1,2,0,3,Low
failed_login,vendor,prod,25,3,2,2,1,2,Medium
failed_login,corp,prod,12,17,4,1,0,4,Medium
failed_login,vendor,corp,40,2,5,1,0,4,High
